Player,Team_TransferSite,Age,Position,TransferValue_EUR_Millions,Highest_ETV
Erling Haaland,Man City,24,F (C),198.8,199.6
Martin Ødegaard,Arsenal,26,"M, AM (C)",126.5,134.5
Alexander Isak,Newcastle Utd.,25,F (C),120.3,120.3
Cole Palmer,Chelsea,22,M (C),115.4,119.0
Declan Rice,Arsenal,26,M (C),107.8,120.0
Alexis Mac Allister,Liverpool,26,"M, DM, AM (C)",106.1,117.0
Phil Foden,Man City,24,"AM (R), M (C)",105.7,138.6
Bukayo Saka,Arsenal,23,"F, M (R)",101.3,127.5
Ryan Gravenberch,Liverpool,22,"DM, M (C)",85.3,85.5
Bruno Guimarães,Newcastle Utd.,27,"DM, M (C)",83.2,83.2
Moisés Caicedo,Chelsea,23,"DM, M (C)",80.7,86.1
William Saliba,Arsenal,24,D (C),79.5,79.5
Omar Marmoush,Man City,26,F (C),79.1,79.1
Joško Gvardiol,Man City,23,D (CL),78.7,86.6
Gabriel Magalhães,Arsenal,27,D (C),75.5,75.5
Sávio,Man City,21,"F (R), M (RL)",74.8,74.8
Enzo Fernández,Chelsea,24,"M, DM (C)",73.7,82.7
Dominik Szoboszlai,Liverpool,24,"M (C), AM (L)",71.4,71.4
Brennan Johnson,Tottenham,23,"F, M (R)",71.3,71.3
Lucas Paquetá,West Ham United,27,"AM, M (C)",71.2,75.0
Leny Yoro,Man Utd,19,D (CR),71.0,71.0
Luis Díaz,Liverpool,28,"F (CL), M (L)",71.0,78.5
Kai Havertz,Arsenal,25,F (C),70.5,98.6
Morgan Rogers,Aston Villa,23,M (CR),69.0,79.6
Murillo,Nottingham,22,D (C),68.4,68.4
Cody Gakpo,Liverpool,25,"F, M, AM (L)",67.5,72.2
Nicolas Jackson,Chelsea,23,F (C),66.2,71.8
Kobbie Mainoo,Man Utd,20,"M, DM (C)",66.0,66.0
Rico Lewis,Man City,20,D (R),62.7,63.8
Matheus Cunha,Wolverhampton,25,F (C),62.6,62.6
Gabriel Martinelli,Arsenal,23,"F, AM (L)",62.6,70.1
Eberechi Eze,C. Palace,26,"AM, M (C), F (L)",62.2,62.2
Amadou Onana,Aston Villa,23,"DM, M (C)",62.1,64.5
Micky van de Ven,Tottenham,24,D (CL),61.8,62.0
Mohammed Kudus,West Ham United,24,"F (R), M (CL)",61.7,63.8
Morgan Gibbs-White,Nottingham,25,"M, AM (C)",61.7,61.7
Curtis Jones,Liverpool,24,"M, DM (C)",61.7,61.7
Milos Kerkez,B'mouth,21,D (L),61.5,61.6
Ollie Watkins,Aston Villa,29,F (C),61.4,65.8
João Pedro,Brighton,23,"F, M, AM (C)",61.3,62.5
Darwin Núñez,Liverpool,25,"F (C), AM (L)",60.9,67.5
Alejandro Garnacho,Man Utd,20,AM (C),60.7,66.5
Pedro Neto,Chelsea,25,"F, M (R)",60.6,62.0
Dejan Kulusevski,Tottenham,25,"AM, M (C)",60.5,72.0
Cristian Romero,Tottenham,27,D (C),60.1,73.4
Destiny Udogie,Tottenham,22,D (L),59.4,60.6
Illia Zabarnyi,B'mouth,22,D (C),58.8,58.8
Diogo Jota,Liverpool,28,F (C),58.6,74.6
Rúben Dias,Man City,27,D (C),58.5,83.2
Archie Gray,Tottenham,19,"D (CR), DM (C)",58.2,72.5
James Maddison,Tottenham,28,"AM, M (C)",58.1,63.7
Ibrahima Konaté,Liverpool,25,D (C),57.2,57.2
Bryan Mbeumo,Brentford,25,"F (CR), M (R)",57.2,62.5
Levi Colwill,Chelsea,22,D (C),56.6,60.0
Pedro Porro,Tottenham,25,D (R),55.9,56.5
Trent Alexander-Arnold,Liverpool,26,D (R),55.8,103.5
Dean Huijsen,B'mouth,20,D (C),55.0,56.3
Rasmus Højlund,Man Utd,22,F (C),54.9,68.3
Bruno Fernandes,Man Utd,30,"AM, M (C)",54.8,87.7
Marc Guéhi,C. Palace,24,D (CL),54.2,54.2
Marcus Rashford,Aston Villa,27,"M, AM (L), F (C)",53.6,82.7
Sandro Tonali,Newcastle Utd.,24,M (C),52.9,71.2
Carlos Baleba,Brighton,21,"DM, M (C)",52.4,52.4
Matthijs de Ligt,Man Utd,25,D (CR),52.2,80.3
Dominic Solanke,Tottenham,27,F (C),52.1,57.9
Christopher Nkunku,Chelsea,27,"F (C), M (L)",51.7,62.7
Noni Madueke,Chelsea,23,"F, M (R)",51.6,52.5
João Gomes,Wolverhampton,24,"M, DM (C)",51.1,51.1
Pape Matar Sarr,Tottenham,22,"M, DM (C)",50.8,54.1
Kaoru Mitoma,Brighton,27,"F, M (L)",50.6,50.6
Bernardo Silva,Man City,30,M (CR),50.0,81.0
Anthony Gordon,Newcastle Utd.,24,F (L),49.5,52.4
Valentino Livramento,Newcastle Utd.,22,D (RL),49.3,49.3
Riccardo Calafiori,Arsenal,22,D (CL),49.3,53.9
Lisandro Martínez,Man Utd,27,D (CL),49.2,61.2
Adam Wharton,C. Palace,21,"DM, M (C)",48.9,49.3
Amad Diallo,Man Utd,22,"F, M (R), AM (C)",48.5,48.6
Jarrod Bowen,West Ham United,28,"M (R), F (C)",48.1,67.1
Antoine Semenyo,B'mouth,25,M (RL),47.7,47.7
Joelinton,Newcastle Utd.,28,"M (C), AM (L)",47.5,47.5
Elliot Anderson,Nottingham,22,"M, DM (C)",46.5,46.5
Antonee Robinson,Fulham,27,D (L),46.4,46.4
Boubacar Kamara,Aston Villa,25,"DM, M (C)",46.3,59.0
Jacob Ramsey,Aston Villa,23,M (CL),45.8,46.2
Anthony Elanga,Nottingham,23,M (R),45.5,45.6
Pau Torres,Aston Villa,28,D (C),45.3,51.8
Justin Kluivert,B'mouth,25,"M (C), AM (R)",44.8,55.8
Joshua Zirkzee,Man Utd,23,F (C),43.7,48.3
Noussair Mazraoui,Man Utd,27,"D (RL), M (R)",43.0,45.3
Manuel Akanji,Man City,29,D (C),42.8,55.5
Ezri Konsa,Aston Villa,27,D (CR),42.7,46.7
Yankuba Minteh,Brighton,20,"F, M (R)",42.6,42.6
Jan Paul van Hecke,Brighton,24,D (C),42.4,42.4
Matheus Nunes,Man City,26,"M (CL), D (R)",42.3,48.3
Guglielmo Vicario,Tottenham,28,GK,41.6,41.6
Youri Tielemans,Aston Villa,27,"M, DM (C)",41.5,58.9
Harvey Barnes,Newcastle Utd.,27,"F, AM, M (L)",41.5,44.5
Georginio Rutter,Brighton,23,"F, M (C)",41.3,41.4
Emile Smith Rowe,Fulham,24,"AM (C), M (CL)",40.8,41.1
Bilal El Khannouss,Leicester,20,"AM, M (C)",40.6,40.6
Mikel Merino,Arsenal,28,"M, F (C)",40.5,46.2
Marc Cucurella,Chelsea,26,D (L),39.4,57.9
Leon Bailey,Aston Villa,27,"M, AM (R)",39.2,45.0
Mohamed Salah,Liverpool,32,"F (CR), M (R)",38.5,85.6
Nikola Milenković,Nottingham,27,D (C),38.0,54.2
Jadon Sancho,Chelsea,25,"M (RL), AM (L)",37.7,108.7
Diogo Dalot,Man Utd,26,"D (R), M (RL)",37.4,51.3
